"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Judge, Aaron",592450,2024,424,25,17,0.461,0.468,38.1,27.6,61.5,107.4920746,99.3036554,32.7,42.7
"De La Cruz, Bryan",650559,2024,409,26.4,5.9,0.303,0.329,35.4,11.3,43.1,100.2158847,94.41982319,29.6,53.4
"Guerrero Jr., Vladimir",665489,2024,415,16.1,9.6,0.355,0.383,31.7,12.4,56.1,105.9561187,97.91054043,23,47.5
"Alvarez, Yordan",670541,2024,393,15.3,10.4,0.386,0.397,34.2,13.7,46.1,103.4830101,96.24942322,20.3,47.1
"Chisholm Jr., Jazz",665862,2024,393,25.2,8.9,0.315,0.309,29.3,10.9,36.5,99.51509871,94.07975161,28.5,47.7
"Freeman, Freddie",518692,2024,425,15.3,13.4,0.38,0.377,43.1,9.8,40.3,100.2566826,94.48280532,20.2,49
"Vierling, Matt",663837,2024,335,23.6,4.8,0.312,0.319,37.8,10.1,43.2,101.165842,94.89956556,20.7,44.4
"Bell, Josh",605137,2024,396,19.9,6.8,0.284,0.294,31,7,38.4,99.50680128,93.82752316,27.7,50.4
"Tovar, Ezequiel",678662,2024,419,28.4,3.3,0.328,0.276,36.9,7.8,38.3,98.72943399,93.65353873,33.9,62.4
"Marte, Ketel",606466,2024,409,17.1,9.8,0.371,0.384,34.8,10.1,53.4,103.5608788,96.70807184,22.2,49
"Rafaela, Ceddanne",678882,2024,347,27.1,3.2,0.296,0.266,34.2,7.5,37.5,98.35365348,93.25810788,33.1,60.9
"Winn, Masyn",691026,2024,351,18.5,7.1,0.321,0.289,36.8,2.3,29.5,97.30989086,92.66154043,17,48.5
"Devers, Rafael",646240,2024,360,23.9,11.7,0.406,0.394,34.3,15.2,53.9,105.1484736,97.55053399,28,50.3
"Machado, Manny",592518,2024,376,21,7.2,0.319,0.32,33,8.1,46.7,102.7360501,95.73438869,24.9,50.8
"Betts, Mookie",605141,2024,331,10.3,14.2,0.39,0.376,40.2,6,40.2,98.9053848,93.78716542,13.9,37.2
"Smith, Will",669257,2024,344,18.3,9.6,0.356,0.343,38.1,11.9,44.7,99.79927074,94.29916107,20.1,47
"Profar, Jurickson",595777,2024,393,15,11.7,0.38,0.366,35,7.4,41.7,100.6107476,94.61093415,17.9,45.6
"Schwarber, Kyle",656941,2024,394,27.2,16.5,0.363,0.369,30.1,11.4,55.3,104.9020014,97.4458047,32.1,39.1
"Albies, Ozzie",645277,2024,381,15.5,6.3,0.315,0.309,34.8,6.1,32.1,97.06168,92.61877914,20.5,56.5
"Donovan, Brendan",680977,2024,397,13.4,7.3,0.333,0.333,36.1,4.9,38.8,98.62129821,93.50104701,15.2,42.4
"Chourio, Jackson",694192,2024,300,23.3,7,0.296,0.296,30.1,4.8,43.1,99.88615308,94.28162106,27.4,49.6
"Pasquantino, Vinnie",686469,2024,384,13.3,8.3,0.312,0.341,32.7,7.4,46.1,100.9672157,94.9140867,15.2,45.6
"Ohtani, Shohei",660271,2024,429,21.7,11.9,0.433,0.458,39.3,20,60,106.5518536,98.68611341,28.8,46.5
"Castellanos, Nick",592206,2024,401,22.7,6.7,0.296,0.316,36.1,8.6,39.3,99.41853336,93.82402305,31.5,58.6
"Burleson, Alec",676475,2024,340,13.5,4.1,0.349,0.338,35.6,7.6,41.2,99.4828864,94.1068028,20.4,56.6
"Altuve, Jose",514888,2024,415,19.3,6,0.355,0.321,37.9,6.9,31.7,97.3086812,92.68535505,21.6,52.4
"Smith, Josh",669701,2024,339,19.2,9.4,0.379,0.317,34.4,3.5,35.2,98.07131884,93.10997973,21.3,45.6
"McCutchen, Andrew",457705,2024,351,26.2,11.7,0.318,0.345,36.2,12.2,39,99.82323065,94.04231732,29.5,42.5
"Duran, Jarren",680776,2024,439,22.3,7.7,0.353,0.344,34.9,8.9,45.7,102.4970772,95.74319604,24.6,46.7
"Heim, Jonah",641680,2024,317,19.2,6.3,0.284,0.295,29.8,7.7,39.1,99.19311487,93.86449828,20.3,53.7
